time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.38,0.015991,-0.073853,0.5047,0.001404,-0.004517,-0.000549
3.4,0.014954,-0.073364,0.504272,0.00116,-0.004578,-0.000549
3.42,0.014526,-0.072815,0.50354,0.001038,-0.004578,-0.000427
3.44,0.013611,-0.072876,0.503662,0.001221,-0.004639,-0.000549
3.46,0.013672,-0.07312,0.504944,0.001404,-0.004517,-0.00061
3.48,0.013672,-0.073242,0.506042,0.001282,-0.004639,-0.00061
3.5,0.013367,-0.07373,0.502441,0.000671,-0.0047,-0.000427
3.52,0.013733,-0.072144,0.505371,0.001343,-0.004578,-0.000427
3.54,0.014099,-0.073059,0.503418,0.001221,-0.004456,-0.000793
3.56,0.014893,-0.073242,0.505554,0.001099,-0.004822,-0.00061
3.58,0.015076,-0.073669,0.503235,0.000977,-0.004578,-0.00061
3.6,0.015869,-0.072266,0.504822,0.001343,-0.004578,-0.000793
3.62,0.015808,-0.071899,0.504883,0.001099,-0.004578,-0.000793
3.64,0.015625,-0.072388,0.504761,0.001038,-0.004578,-0.000549
3.66,0.01593,-0.073059,0.503967,0.000854,-0.004578,-0.000549
3.68,0.016663,-0.073669,0.504822,0.00116,-0.0047,-0.000549
3.7,0.015991,-0.074524,0.504272,0.001038,-0.004517,-0.000488
3.72,0.015686,-0.074951,0.504028,0.000977,-0.0047,-0.000244
3.74,0.015747,-0.075378,0.503906,0.001099,-0.004578,-0.000427
3.76,0.015747,-0.07489,0.504517,0.00116,-0.004517,-0.000671
3.78,0.015259,-0.07489,0.504272,0.001099,-0.004578,-0.000549
3.8,0.014221,-0.074402,0.503906,0.001038,-0.004578,-0.000549
3.82,0.014587,-0.073547,0.504272,0.00116,-0.004517,-0.000488
3.84,0.014282,-0.07312,0.504089,0.001038,-0.004578,-0.00061
3.86,0.013794,-0.072083,0.504883,0.00116,-0.004578,-0.000549
3.88,0.013916,-0.072388,0.502686,0.000916,-0.004456,-0.000488
3.9,0.012878,-0.072327,0.504761,0.000977,-0.004517,-0.000427
3.92,0.013916,-0.072632,0.505066,0.001221,-0.004456,-0.00061
3.94,0.014893,-0.073364,0.503723,0.000916,-0.004578,-0.000549
3.96,0.015991,-0.073486,0.505554,0.000977,-0.0047,-0.000427
3.98,0.016052,-0.074768,0.505005,0.000977,-0.004456,-0.000671
4.0,0.017761,-0.074707,0.504883,0.000916,-0.004517,-0.000427
4.02,0.018066,-0.0755,0.503601,0.000916,-0.004639,-0.000671
4.04,0.018616,-0.0755,0.50354,0.001099,-0.004639,-0.000854
4.06,0.0177,-0.075317,0.503967,0.001038,-0.004517,-0.000732
4.08,0.017273,-0.075684,0.505127,0.001099,-0.004517,-0.000732
4.1,0.016357,-0.074707,0.504211,0.001099,-0.004456,-0.000732
4.12,0.015686,-0.074097,0.504883,0.001038,-0.004578,-0.00061
4.14,0.014893,-0.073425,0.505249,0.00116,-0.004517,-0.000549
4.16,0.014282,-0.073425,0.505005,0.001099,-0.004456,-0.000549
4.18,0.013733,-0.072754,0.504883,0.001099,-0.004578,-0.000427
4.2,0.013123,-0.072388,0.504578,0.001099,-0.004456,-0.000427
4.22,0.012939,-0.07196,0.504822,0.001038,-0.004517,-0.000549
4.24,0.012695,-0.071655,0.50531,0.001038,-0.004517,-0.000549
4.26,0.012695,-0.071533,0.505249,0.001221,-0.004517,-0.000549
4.28,0.013367,-0.071777,0.504639,0.001038,-0.004578,-0.00061
4.3,0.013855,-0.071899,0.505188,0.001038,-0.004578,-0.000549
4.32,0.013428,-0.072754,0.504822,0.001038,-0.004639,-0.000732
4.34,0.014465,-0.072632,0.505432,0.000977,-0.004639,-0.000671
4.36,0.014709,-0.073669,0.504883,0.001099,-0.004517,-0.000671
4.38,0.015503,-0.073669,0.504517,0.001038,-0.004456,-0.000732
4.4,0.016174,-0.074768,0.504517,0.000977,-0.004578,-0.00061
4.42,0.017029,-0.075256,0.504211,0.001038,-0.004639,-0.00061
4.44,0.017822,-0.075745,0.504333,0.001038,-0.004517,-0.000671
4.46,0.017395,-0.0755,0.504517,0.000977,-0.004578,-0.000549
4.48,0.017029,-0.075378,0.5047,0.001038,-0.004517,-0.000488
4.5,0.016907,-0.075195,0.504517,0.001038,-0.004517,-0.000549
4.52,0.01593,-0.074219,0.504456,0.00116,-0.004578,-0.000549
4.54,0.015869,-0.073486,0.504578,0.00116,-0.004395,-0.000488
4.56,0.014648,-0.073364,0.505493,0.00116,-0.004456,-0.000488
4.58,0.013794,-0.072388,0.505127,0.001099,-0.004517,-0.000427
4.6,0.014404,-0.072083,0.504517,0.001038,-0.004578,-0.000488
4.62,0.013184,-0.071411,0.505005,0.001099,-0.004517,-0.000549
4.64,0.013367,-0.072571,0.505249,0.001099,-0.004578,-0.000549
4.66,0.013672,-0.072632,0.504639,0.001099,-0.004639,-0.000549
4.68,0.014526,-0.073364,0.504456,0.001038,-0.004639,-0.00061
4.7,0.014771,-0.074463,0.504822,0.001038,-0.004578,-0.000549
4.72,0.015137,-0.074219,0.504333,0.001099,-0.004578,-0.00061
4.74,0.015686,-0.074097,0.50415,0.00116,-0.004517,-0.000671
4.76,0.015808,-0.073853,0.504517,0.001099,-0.004578,-0.00061
4.78,0.01593,-0.074341,0.504639,0.001038,-0.004639,-0.00061
4.8,0.016235,-0.074524,0.505005,0.001038,-0.004578,-0.00061
4.82,0.015869,-0.074463,0.505188,0.001099,-0.004517,-0.00061
4.84,0.016235,-0.074829,0.503967,0.000977,-0.004639,-0.000488
4.86,0.016418,-0.074219,0.504089,0.001038,-0.004761,-0.000488
4.88,0.016235,-0.074036,0.504089,0.001038,-0.004517,-0.000549
4.9,0.015869,-0.073975,0.504089,0.000916,-0.004578,-0.000549
4.92,0.015442,-0.074524,0.505493,0.001099,-0.004639,-0.000427
4.94,0.01532,-0.073547,0.507568,0.001526,-0.004456,-0.00061
4.96,0.014587,-0.073486,0.505005,0.000854,-0.004456,-0.000549
4.98,0.013245,-0.072266,0.503357,0.000732,-0.0047,-0.000305
5.0,0.013245,-0.072144,0.504333,0.001282,-0.004456,-0.00061
5.02,0.014282,-0.072815,0.505127,0.001343,-0.004395,-0.00061
5.04,0.014343,-0.072815,0.504517,0.000854,-0.004761,-0.00061
5.06,0.01416,-0.073059,0.504211,0.001099,-0.0047,-0.00061
5.08,0.015076,-0.073669,0.505249,0.00116,-0.004578,-0.000671
5.1,0.015259,-0.073792,0.504089,0.000916,-0.0047,-0.000549
5.12,0.015686,-0.07428,0.504333,0.000977,-0.004761,-0.000488
5.14,0.016052,-0.074463,0.50531,0.001221,-0.004639,-0.000671
5.16,0.016846,-0.074829,0.505066,0.001099,-0.004639,-0.000671
5.18,0.016479,-0.074219,0.504028,0.001038,-0.004517,-0.000549
5.2,0.015259,-0.073792,0.503601,0.00116,-0.004578,-0.000549
5.22,0.015564,-0.073792,0.50415,0.00116,-0.004639,-0.000671
5.24,0.015869,-0.073669,0.504517,0.001099,-0.004639,-0.00061
5.26,0.015381,-0.072876,0.504883,0.001099,-0.004639,-0.000488
5.28,0.015015,-0.072998,0.504578,0.001038,-0.004578,-0.000549
5.3,0.015015,-0.07312,0.503906,0.001038,-0.004578,-0.000549
5.32,0.014954,-0.073608,0.502747,0.002319,-0.004517,-0.00061
5.34,0.016296,-0.073425,0.509338,0.003357,-0.003357,-0.000793
5.36,0.015259,-0.074524,0.50293,-0.00116,-0.004272,0.000977
5.38,0.013,-0.073608,0.501892,-0.001526,-0.005859,0.001831
5.4,0.013428,-0.072571,0.504944,0.00293,-0.004211,-0.000427
5.42,0.01532,-0.074646,0.504639,0.002258,-0.004639,-0.001465
5.44,0.013794,-0.073242,0.503601,0.001038,-0.005859,-0.000427
5.46,0.014099,-0.072632,0.504822,0.002869,-0.004517,-0.001465
